description,dpl_tag
Monthly depreciation charge – plant and machinery – Sep 2023,DPL010
Innovate UK grant income – Feb 2025,DPL024
Building maintenance cleaning charge,DPL008
Political party donation – Labour Party – 2025,DPL053
R&D staff costs – Facilities – December,DPL056
IFRS 3 reassessment gain – Eastern Region Ltd – 2026,DPL023
Software impairment loss – IBM – 2025,DPL028
Biological assets revaluation loss – 2024,DPL019
General admin overhead charge – Oct,DPL046
Amortisation of acquired technology – JV Entity – 2023,DPL002
DC pension employer contribution – HR – Nov,DPL052
IR35 deemed employee cost – AP-19251 – 2023,DPL073
Realised foreign exchange loss – JNL-82757,DPL043
FX loss on USD settlement – AP PO-94581,DPL043
Residual finance INCOME – May 2025,DPL058
Referral commission paid – EXP-87490,DPL012
Distribution of listed equities to equity holders – 2026,DPL040
Catch-all cost allocation – August 2026,DPL074
Disposal proceeds less carrying value – Asia Pacific Holdco – 2024,DPL017
Loan written off – Northern Division – 2023,DPL039
Loss on disposal of plant and machinery – Feb 2023,DPL022
Non-recoverable VAT charge – Jul 2025,DPL036
Cyber security licence and services – 2025,DPL061
Intercompany loan written off – Holdco Ltd – 2026,DPL039
Operating income – reimbursement received – PO-47531,DPL045
Bank service charges – Dec 2025,DPL005
Investment property fair value movement – Edinburgh branch – 2023,DPL020
Share option expense – IFRS 2 charge – November 2025,DPL062
Facilities management outsourcing – Pinewood Ltd,DPL049
Legal provision released – EXP-77362,DPL018
Emissions monitoring service – 2024,DPL011
Donation to Liberal Democrats – disclosed in accounts – 2024,DPL053
Current account charges – Deutsche Bank – Jul,DPL005
Waste disposal and environmental fees – June 2026,DPL011
Directors and officers insurance premium – 2024,DPL033
Office supplies printing – PO-62101,DPL054
Group finance function recharge – Jan 2023,DPL034
Business rates – Nottingham office – Q3 2026,DPL055
IAS 37 provision discount unwind – 2025,DPL067
Environmental penalty – ICO – December,DPL015
Spin-off distribution of European Division shares – 2024,DPL040
Intercompany loan written off – Subsidiary A – 2025,DPL039
After-tax loss on sale of Southern Operations – 2023,DPL017
Fair value loss on investment property – 2024,DPL020
Work in progress movement – August 2025,DPL032
Taxi and car hire – May 2023,DPL065
Intangible asset amortisation – Operations system – 2026,DPL002
Input VAT – non-deductible – May 2024,DPL036
Print room costs – Reading HQ – 2025,DPL054
Excess fair value recognised in P&L – LatAm Subsidiary – 2024,DPL023
Restructuring advisory fees – EY – 2023,DPL059
Loan receivable write-off – JNL-10359,DPL039
Change in finished goods inventory – Jan 2025,DPL032
Off payroll working costs – Finance – June,DPL073
IAS 36 goodwill impairment – Asia Pacific Holdco – 2023,DPL028
JNL-94928 – Beazley – property insurance,DPL033
Listed equity dividend received – July 2023,DPL030
PO-61451 – Legal advisory fees – Freshfields,DPL038
AP-57275 – PwC audit services FY2024,DPL003
Patent licence royalties – October,DPL060
Sales commission – external agent – Jun 2026,DPL012
Equity investment write-down – NewCo Ltd – December,DPL027
Export grant credit – UK Shared Prosperity Fund,DPL024
IAS 29 hyperinflation adjustment – JPY functional currency – 2024,DPL026
Return on venture capital investment – 2024,DPL030
Off payroll contractor cost – INV-80786,DPL073
IFRS 3 negative goodwill recognised – 2023,DPL023
Tax advisory fees – PwC,DPL003
Site rationalisation costs – Edinburgh branch – 2025,DPL059
INV-18382 – Third party storage – TNT,DPL069
Employer pension contribution – defined contribution – Sep,DPL052
Equity investment write-down – JV Entity – January,DPL027
EXP-75649 – Government grant received – Enterprise Development Grant,DPL024
Service fee income – Meridian PLC – Jun,DPL045
Goodwill impairment charge – Holdco Ltd CGU – 2026,DPL028
Courier and express delivery – Apr 2024,DPL016
Royalty payment to IP Licensor Inc – February 2023,DPL060
Off payroll revenue – PO-45789 – 2023,DPL070
Share award charge – Legal – 2023,DPL062
Warehouse lease payment – Oct 2024,DPL055
Bargain purchase element – Asia Pacific Holdco – 2025,DPL023
Professional services income – Dec 2023,DPL066
IFRS 16 lease liability – interest and depreciation – May,DPL055
Operational consultancy – Apex Services – April,DPL009
DC pension employer contribution – HR – Aug,DPL052
Machinery depreciation – Facilities – Dec,DPL010
Research expenditure – innovation lab – 2024,DPL056
Investment write-down – LatAm Subsidiary shares – 2024,DPL027
Increase in dilapidation provision – Reading HQ,DPL018
Release of restructuring provision – July 2023,DPL018
Management consultancy fees – PO-91741,DPL009
Employer pension contribution – defined contribution – Aug,DPL052
IAS 40 annual fair value update – Reading HQ – 2023,DPL020
Interest PAYABLE on related party loan – March,DPL076
GDPR penalty – data breach – 2023,DPL015
Cumulative price index restatement – Asia Pacific Holdco – 2024,DPL026
R&D project costs – Falcon – September 2026,DPL056
Interest charged on Bank of America overdraft – July,DPL035
VAT compliance services – Apr 2023,DPL003
Waste management and recycling costs – Reading HQ – 2025,DPL011
Monthly payroll – Dec 2023,DPL068
Office closure costs – Manchester office – 2025,DPL059
Employee benefits expense – Dec 2023,DPL048
CJRS furlough grant received – Apr 2026,DPL071
Facilities cleaning – Glasgow office – Sep,DPL008
Brand name impairment – Eastern Region Ltd CGU review – 2026,DPL028
Loss on disposal of plant and machinery – June 2026,DPL022
H&S training costs – Apr 2025,DPL025
Miscellaneous operational and admin charge – 2023,DPL046
Office rent – Birmingham site – Oct 2023,DPL055
Revenue cost reclassified to capital – EXP-86286,DPL042
Tax provision adjustment – September 2026,DPL031
H&S training costs – May 2025,DPL025
Operating income – reimbursement received – AP-52257,DPL045
Stationery purchase – Crestwood Ltd – 2025,DPL054
Distribution of hedge fund to equity holders – 2024,DPL040
Warehouse lease payment – Apr 2024,DPL055
Change in finished goods inventory – September 2024,DPL032
Foreign currency conversion fee – Barclays,DPL005
Bank service charges – December 2024,DPL005
Non-trading gain before tax – Jul 2023,DPL044
Share award charge – Sales – 2023,DPL062
PAYE payroll cost – February 2025,DPL068
Non-bank interest INCOME receivable – May 2023,DPL075
Treasury deposit interest – December 2023,DPL006
Financial instrument MTM LOSS – FX forward contract – November,DPL014
VAT compliance services – Apr 2024,DPL003
Outsourced IT support – Jun 2026,DPL049
Catch-all cost allocation – May 2023,DPL074
Intangible asset amortisation – Facilities system – 2023,DPL002
Building repairs and maintenance – Feb 2025,DPL047
Third party sales commission – AP-24747,DPL012
Carbon credit purchase – May 2023,DPL011
Loss on disposal of trademark – 2026,DPL021
Building security services – July 2025,DPL061
Tax provision adjustment – August 2024,DPL031
Unrealised GAIN on total return swap – Jan 2023,DPL013
IAS 29 indexation gain – February 2023,DPL026
ERP system impairment write-down – SAP – 2024,DPL028
Halifax account maintenance fee – Jan,DPL005
"Import freight costs – EUR 4,098",DPL016
Professional body membership – December 2025,DPL063
Bonded warehouse charges – Feb,DPL069
Google Ads campaign – Q4 2023 – Finance,DPL001
IT support recharge from parent – August,DPL034
CJRS furlough grant received – June 2023,DPL071
Warehouse storage charges – September 2024,DPL069
Raw materials stock change – December,DPL032
Courier and express delivery – Feb 2024,DPL016
Machinery depreciation – HR – December,DPL010
Admin support costs – R&D – Aug 2025,DPL046
PAYE payroll cost – January 2024,DPL068
Political expenditure – Liberal Democrats – 2025,DPL053
Finance expense – unwinding of discounted provision – 2025,DPL067
Manned guarding services – Jul 2023,DPL061
Service charge – Leeds depot – Jul,DPL055
EXP-66013 – Service income – Corinthian Ltd,DPL066
Finance CHARGE – lease liability – December 2023,DPL057
Auto-enrolment pension contribution – October 2024,DPL052
Realised foreign exchange loss – AP-56676,DPL043
CJRS claim – HR – Feb 2025,DPL071
COVID-19 Additional Restrictions grant – 2026,DPL072
Other finance INCOME – Nov 2025,DPL058
Microsoft Azure cloud hosting – Oct subscription,DPL037
Music royalty costs – Jul 2023,DPL060
Disposal proceeds less carrying value – LatAm Subsidiary – 2023,DPL017
Bank service charges – Feb 2023,DPL005
Bank service charges – June 2023,DPL005
Foreign currency conversion fee – RBS,DPL005
One-off non-operating gain – Apr 2024,DPL044
Office rent – Leeds depot – Nov 2025,DPL055
Development cost capitalisation – Jan,DPL042
Admin support costs – Sales – Aug 2023,DPL046
Work in progress movement – Nov 2026,DPL032
"Write-off of irrecoverable debt – CHF 73,241",DPL004
Cumulative price index restatement – NewCo Ltd – 2026,DPL026
IP royalty – EXP-45551 – 2026,DPL060
Staff salaries – May 2026,DPL068
R&D staff costs – IT – Jan,DPL056
Currency translation difference – November 2023,DPL043
Acquired intangible impairment – LatAm Subsidiary – 2024,DPL028
CJRS furlough grant received – Dec 2023,DPL071
Bonded warehouse charges – Apr,DPL069
Other charges – unspecified – EXP-54000,DPL074
Unrealised LOSS on currency option – May 2025,DPL014
Bank service charges – July 2023,DPL005
IR35 deemed employee cost – JNL-88156 – 2024,DPL073
Post-tax gain on sale of LatAm Subsidiary division – 2025,DPL017
Unrealised GAIN on commodity futures – December 2025,DPL013
Interest income received from Deutsche Bank savings account,DPL006
Business entertainment – restaurant – PO-81429,DPL041
Employee benefits expense – Jan 2024,DPL048
VAT compliance services – October 2023,DPL003
Staff salaries – Mar 2026,DPL068
Overseas withholding tax – October 2023,DPL031
DB scheme deficit contribution – August 2024,DPL051
Manned guarding services – November 2026,DPL061
Revenue cost reclassified to capital – JNL-20819,DPL042
Interest charged on Metro Bank overdraft – July,DPL035
Tax provision adjustment – Apr 2026,DPL031
ERP system amortisation – Cisco – Jul 2023,DPL002
Realised foreign exchange loss – EXP-85664,DPL043
Air freight charges – INV-44725 – Apr,DPL016
Expense capitalised to work in progress – April 2025,DPL042
Site rationalisation costs – Sheffield site – 2023,DPL059
Introducer fee – Summit Consulting – 2025,DPL012
Internal labour capitalised – Falcon project – Sep,DPL050
REF-62707 – IT support contract – Salesforce,DPL037
Inter-company loan interest INCOME – Western Trading Ltd – 2026,DPL075
HSBC account maintenance fee – December,DPL005
Change in finished goods inventory – March 2026,DPL032
Staff costs transferred to capital project – Nov 2026,DPL050
Pallet storage fees – TNT – 2025,DPL069
Sporting event hospitality – August 2023,DPL041
Off payroll revenue – PO-43006 – 2023,DPL070
Software subscription – Microsoft Azure – April 2024,DPL063
Facilities cleaning – Birmingham site – Feb,DPL008
Prototype development expense – Falcon – 2023,DPL056
Internal resources capitalised – Project Alpha – June 2023,DPL050
Fundraising event costs – Age UK – October,DPL007
IFRS 5 discontinued operations gain – LatAm Subsidiary – 2023,DPL017
Risk assessment costs – Redwood Partners,DPL025
Equity investment write-down – JV Entity – Jan,DPL027
Tax provision adjustment – December 2024,DPL031
Brand name impairment – Holdco Ltd CGU review – 2025,DPL028
Unrealised FX gain – balance sheet revaluation – December,DPL043
Intra-group interest INCOME – Asia Pacific Holdco – May,DPL075
Present value unwinding – restructuring provision – Apr 2023,DPL067
Property impairment charge – Reading HQ – 2026,DPL029
IAS 40 annual fair value update – Leeds depot – 2024,DPL020
"Write-off of irrecoverable debt – USD 906,210",DPL004
Defined benefit pension scheme – service cost – February 2024,DPL051
Amortisation – Vertex software – July 2024,DPL002
Corporate social responsibility donation – June 2026,DPL007
Product sales – Facilities – Dec 2024,DPL066
Travel reimbursement – employee expense claim – JNL-27910,DPL065
Data storage costs – SAP – Feb,DPL037
Foreign currency conversion fee – Bank of America,DPL005
INV-29384 – Facility repair costs – Summit Consulting,DPL047
Internal labour capitalised – Horizon project – April,DPL050
Investment write-down – US Operations Inc shares – 2025,DPL027
IAS 40 annual fair value update – Liverpool depot – 2024,DPL020
Gain on derecognition – discontinued operations – Northern Division – 2026,DPL017
Sale of IT equipment – gain/(loss) – REF-46037,DPL022
H&S training costs – July 2024,DPL025
Auto-enrolment pension contribution – Sep 2024,DPL052
Expense capitalised to work in progress – Aug 2024,DPL042
Taxi and car hire – Feb 2023,DPL065
Non-bank finance CHARGES – Holdco Ltd – 2024,DPL076
Prototype development expense – Project Alpha – 2024,DPL056
Share option expense – IFRS 2 charge – Apr 2026,DPL062
Management fee recharge from Group Services Ltd – Nov 2026,DPL034
Corporate social responsibility donation – June 2023,DPL007
AP-48320 – Freight charges – Agility,DPL016
H&S training costs – Aug 2025,DPL025
PAYE payroll cost – January 2026,DPL068
ETS carbon allowance purchase – 2025,DPL011
Restart grant received – Apr 2025,DPL072
Google Ads campaign – Q3 2025 – Facilities,DPL001
Distribution in kind – US Operations Inc equity – 2023,DPL040
Finance CHARGE – lease liability – June 2024,DPL057
Trade association subscription – 2025,DPL063
Sale of IT equipment – gain/(loss) – INV-27944,DPL022
Other operating income – service recharge – Aug,DPL045
Off payroll contractor cost – PO-44685,DPL073
Fixed line rental – AT&T – 2025,DPL064
Hyperinflationary subsidiary restatement gain/(loss) – 2026,DPL026
RSU vesting expense – November 2026,DPL062
Loan receivable write-off – JNL-41089,DPL039
Contract penalty charge – EXP-27768,DPL015
Restart grant received – December 2024,DPL072
Dividend income from NewCo Ltd – September 2026,DPL030
Campaign contribution – Labour Party – 2025,DPL053
Deemed employment income – IR35 – Dec 2025,DPL070
Coronavirus discretionary grant – local council – 2025,DPL072
Investment write-down – Southern Operations shares – 2025,DPL027
SECR energy and carbon reporting – 2023,DPL011
Outsourced IT support – December 2023,DPL049
Audit planning fees – BDO – Mar,DPL003
Charitable giving – year end 2023,DPL007
PO-34254 – Freight charges – Geodis,DPL016
Plant and machinery impairment charge – 2025,DPL029
Distribution in kind – Western Trading Ltd equity – 2024,DPL040
Non-operating net gain before tax – 2025,DPL044
Asset distribution to shareholders – 2026,DPL040
Treasury deposit interest – Mar 2024,DPL006
Client entertainment – November 2026,DPL041
Risk assessment costs – Sterling Group,DPL025
Tax advisory fees – Moore Kingston Smith,DPL003
Loan note interest RECEIVED – Sep,DPL075
Management fee recharge from Treasury Centre Ltd – April 2026,DPL034
VAT compliance services – May 2024,DPL003
Finance EXPENSE – lease – IFRS 16 – Aug 2025,DPL057
Office supplies printing – REF-65256,DPL054
IP legal costs – Norton Rose Fulbright – Jan 2023,DPL038
Dividend income from NewCo Ltd – November 2023,DPL030
Contractor income – off payroll engagement – 2024,DPL070
Internal resources capitalised – Orion – December 2026,DPL050
Discount unwind – environmental remediation provision – February 2024,DPL067
Music royalty costs – Dec 2024,DPL060
IAS 29 hyperinflation adjustment – GBP functional currency – 2026,DPL026
Goodwill impairment charge – Western Trading Ltd CGU – 2023,DPL028
INV-41231 – Digital marketing services,DPL001
IT infrastructure costs – Mar 2023,DPL037
Business rates – Reading HQ – Q4 2026,DPL055
Goodwill impairment charge – Holdco Ltd CGU – 2024,DPL028
Facilities cleaning – Leeds depot – October,DPL008
REF-34886 – Third party storage – UPS,DPL069
Business transformation consulting – September 2026,DPL009
Office supplies and administration costs – Apr 2024,DPL046
Distribution of private equity fund to equity holders – 2023,DPL040
Bank service charges – Oct 2024,DPL005
Referral commission paid – REF-98359,DPL012
Auto-enrolment pension contribution – October 2025,DPL052
Furlough claim receipt – HMRC – November,DPL071
Expense capitalised to work in progress – Aug 2023,DPL042
Finance COST – vendor loan note – 2023,DPL057
Equity investment write-down – European Division – July,DPL027
CQC late filing penalty – 2026,DPL015
VAT compliance services – Oct 2023,DPL003
AP-59281 – Government grant received – Regional Growth Fund,DPL024
Introducer fee – Lakeside Corp – 2025,DPL012
Flight booking – business trip – Jul 2026,DPL065
Warranty provision utilisation – February 2024,DPL018
Head office recharge – Corporate Centre Ltd – 2023,DPL034
International call charges – March,DPL064
Unwinding of present value adjustment – dilapidation provision – 2025,DPL067
Dividend income from Southern Operations – Apr 2026,DPL030
Legal provision released – AP-51092,DPL018
Overseas withholding tax – April 2025,DPL031
Consulting fee income – Corinthian Ltd – EXP-90356,DPL066
Audit planning fees – Mazars – December,DPL003
JNL-94731 – Digital marketing services,DPL001
Overseas withholding tax – Mar 2025,DPL031
Technical consulting services – ServiceNow implementation,DPL009
Intangible asset disposal gain – PO-82365,DPL021
Overseas travel – Feb 2025,DPL065
"Write-off of irrecoverable debt – USD 98,805",DPL004
Software subscription – Workday – Sep 2023,DPL063
Current account charges – Halifax – Sep,DPL005
Investment property uplift – AP-63593 – 2026,DPL020
IAS 29 hyperinflation adjustment – HKD functional currency – 2025,DPL026
Interest PAYABLE on related party loan – October,DPL076
KTP award grant income – Apr 2026,DPL024
Residual finance INCOME – January 2026,DPL058
Franchise intangible impairment charge – 2025,DPL028
Distribution of hedge fund to equity holders – 2025,DPL040
Rail travel – HR staff – October,DPL065
Irrecoverable VAT on entertainment – Nov,DPL036
Contract drafting fees – Allen & Overy – Jan,DPL038
AP-24249 – Legal advisory fees – CMS,DPL038
Net profit on disposal – Eastern Region Ltd – discontinued – 2023,DPL017
Corporate social responsibility donation – Aug 2023,DPL007
Monthly depreciation charge – plant and machinery – May 2023,DPL010
Provision discount unwind – onerous contract provision – 2024,DPL067
Defined benefit pension scheme – service cost – Jan 2024,DPL051
Party political donation – Labour Party – 2026,DPL053
Derivative financial instrument fair value DECLINE – 2025,DPL014
Deep clean – Leeds depot – Jun,DPL008
Catch-all cost allocation – Aug 2025,DPL074
Janitorial services – Sep 2025,DPL008
Annual subscription – Bloomberg – 2026,DPL063
"Debt interest expense – CHF 59,991 facility – 2026",DPL035
REF-65787 – Third party storage – Geodis,DPL069
Building security services – September 2025,DPL061
Back-office administration costs – Mar 2025,DPL046
Intangible asset disposal gain – PO-16172,DPL021
JNL-98305 – Beazley – property insurance,DPL033
Property impairment charge – Cardiff branch – 2025,DPL029
Day-to-day operational admin expenses – Facilities,DPL046
Foreign exchange revaluation gain – Oct 2023,DPL043
Intangible asset disposal gain – JNL-80583,DPL021
Warehouse impairment charge – Edinburgh branch – 2025,DPL029
Onerous contract provision change – Mar,DPL018
RSU vesting expense – July 2023,DPL062
Political party subscription – SNP – 2026,DPL053
Release of restructuring provision – Aug 2026,DPL018
Google Ads campaign – Q4 2024 – Marketing,DPL001
Increase in dilapidation provision – Leeds depot,DPL018
Bad debt write-off – customer INV-55726,DPL004
Timber plantation biological asset gain – 2026,DPL019
Gain on derecognition – discontinued operations – Holdco Ltd – 2025,DPL017
Staff medical benefit – May,DPL048
Management fee recharge from Group Finance Ltd – Oct 2026,DPL034
REF-11418 – IT support contract – VMware,DPL037
Distribution in kind – European Division equity – 2024,DPL040
Prototype development expense – Sapphire – 2024,DPL056
SAYE scheme cost – 2025,DPL062
Hyperinflationary subsidiary restatement gain/(loss) – 2025,DPL026
Bank service charges – Jul 2024,DPL005
Donation to Shelter – 2023,DPL007
Poultry stock fair value adjustment – April,DPL019
Contract penalty charge – REF-56158,DPL015
Loan receivable write-off – REF-40583,DPL039
Inter-company management charge – AP-31905,DPL034
Pinewood Ltd – Strategy consulting services – November 2023,DPL009
ERP system amortisation – Snowflake – April 2026,DPL002
Summit Consulting – managed services contract – Feb,DPL049
Residual finance INCOME credited – Sep 2025,DPL058
Senior secured loan interest – Nov,DPL035
Business rates – Reading HQ – Q1 2026,DPL055
Security patrol costs – Liverpool depot – Mar,DPL061
Janitorial services – April 2026,DPL008
Contract drafting fees – Clifford Chance – March,DPL038
COVID-19 local authority grant – 2023,DPL072
Manned guarding services – August 2023,DPL061
Share award charge – HR – 2026,DPL062
Provision movement – warranty claims – 2025,DPL018
Loss on disposal of plant and machinery – Feb 2025,DPL022
Current account charges – RBS – Mar,DPL005
Service charge – Bristol office – January,DPL055
Non-bank finance CHARGES – US Operations Inc – 2025,DPL076
Corporate hospitality costs – May,DPL041
Related party interest RECEIVABLE – 2023,DPL075
Investment property uplift – INV-52448 – 2023,DPL020
Mobile phone contract costs – Mar 2025,DPL064
Employee benefits expense – February 2025,DPL048
Treasury deposit interest – Oct 2023,DPL006
Change in finished goods inventory – Jun 2025,DPL032
Political donation – Liberal Democrats – 2025,DPL053
Distribution of investment property to owners – 2023,DPL040
Business transformation consulting – June 2023,DPL009
Restructuring advisory fees – KPMG – 2025,DPL059
Foreign currency conversion fee – Citibank,DPL005
Waste disposal and environmental fees – Nov 2026,DPL011
One-off non-operating gain – Sep 2025,DPL044
Running costs – operational administration – November,DPL046
Non-cash asset declared for distribution – board resolution – 2025,DPL040
Security patrol costs – Edinburgh branch – Dec,DPL061
General repairs – Manchester office – October 2023,DPL047
Off payroll contractor cost – EXP-40860,DPL073
Social media advertising spend – December 2023,DPL001
Warranty provision utilisation – December 2026,DPL018
PV unwinding – dilapidation provision – 2024,DPL067
Group pension scheme payments – Apr 2023,DPL052
NEST / defined contribution pension – June,DPL052
Gift aid donation to Mind,DPL007
DC pension employer contribution – Facilities – Oct,DPL052
Current account charges – Nationwide – May,DPL005
Bank interest credited – Apr 2025,DPL006
Cost transferred to fixed asset register – 2025,DPL042
Internal resources capitalised – Mercury – February 2025,DPL050
Input VAT – non-deductible – Jul 2024,DPL036
HVAC system maintenance – Birmingham site – 2024,DPL047
Operating income – reimbursement received – PO-35954,DPL045
Waste management and recycling costs – London HQ – 2026,DPL011
Restructuring advisory fees – Grant Thornton – 2025,DPL059
Social media advertising spend – Feb 2024,DPL001
Non-recoverable VAT charge – Oct 2025,DPL036
Net finance INCOME – pension scheme surplus – 2026,DPL058
General admin overhead charge – December,DPL046
Monthly payroll – Dec 2026,DPL068
Redundancy costs – Legal – 2026,DPL059
Regulatory fine – Companies House – 2023,DPL015
Overseas withholding tax – Nov 2024,DPL031
Transaction processing fees – NatWest,DPL005
Non-recoverable VAT charge – March 2025,DPL036
Warehouse storage charges – October 2026,DPL069
Non-trading gain before tax – November 2024,DPL044
Office fit-out impairment charge – Nottingham office – 2026,DPL029
IAS 37 time value of money – provision – 2024,DPL067
AP-24125 – Government grant received – Enterprise Development Grant,DPL024
Shared services cost recharge – Marketing – 2025,DPL034
Payroll run – January 2023 – Facilities,DPL068
Courier and express delivery – September 2024,DPL016
RSU vesting expense – Jul 2026,DPL062
Air freight charges – EXP-47502 – October,DPL016
Bargain purchase element – Holdco Ltd – 2023,DPL023
INV-58863 – QBE – property insurance,DPL033
Investment income – minority shareholding – Jan,DPL030
Inter-company management charge – AP-51323,DPL034
Mobile phone contract costs – December 2025,DPL064
General repairs – Sheffield site – Dec 2026,DPL047
Financial instrument MTM GAIN – inflation swap – Nov,DPL013
EXP-39572 – Markel – property insurance,DPL033
Mark-to-market LOSS – interest rate swap – Sep,DPL014
Outsourced HR services – July 2023,DPL049
Hedging instrument LOSS – cross-currency swap – 2023,DPL014
Audit planning fees – Mazars – October,DPL003
Channel partner commission – January,DPL012
Site rationalisation costs – Edinburgh branch – 2024,DPL059
Donation to Reform UK – disclosed in accounts – 2023,DPL053
Leasehold rent – Cardiff branch – 2026,DPL055
"Write-off of irrecoverable debt – USD 6,116",DPL004
Irrecoverable VAT on entertainment – Dec,DPL036
Bank interest credited – Jun 2026,DPL006
Profit on disposal of motor vehicle – JNL-81852,DPL022
Catapult Innovation Fund grant income – December 2024,DPL024
Recruitment fees – Procurement – 2024,DPL048
Broiler chicken stock fair value – September,DPL019
Document printing and binding costs – Aug,DPL054
Site rationalisation costs – Bristol office – 2026,DPL059
Inter-company interest EXPENSE – Asia Pacific Holdco – 2025,DPL076
Bonded warehouse charges – April,DPL069
Broiler chicken stock fair value – June,DPL019
Treasury deposit interest – Oct 2024,DPL006
Service charge – Reading HQ – Nov,DPL055
IR35 worker engagement cost – Dec 2024,DPL073
Positive mark-to-market movement – total return swap – 2026,DPL013
Intangible asset disposal gain – AP-65710,DPL021
Sundry costs – catch-all – IT – 2023,DPL074
Professional body membership – April 2026,DPL063
Amortisation of software licence – Jun 2024,DPL002
Off payroll contractor cost – AP-45299,DPL073
Facilities cleaning – Liverpool depot – October,DPL008
Rental property revaluation – Manchester office – 2024,DPL020
Off payroll revenue – EXP-69375 – 2024,DPL070
Inter-company management charge – PO-46784,DPL034
corporate bonds fair value INCREASE – Sep 2026,DPL013
SWIFT transfer charges – Sep,DPL005
Consulting fee income – Corinthian Ltd – EXP-35620,DPL066
Pension scheme contribution – defined benefit – April,DPL051
Equity derivative mark-to-market LOSS – May,DPL014
Enterprise Development Grant grant income – May 2023,DPL024
Revenue cost reclassified to capital – JNL-13274,DPL042
Expected credit loss provision – Nov,DPL004
Prototype development expense – Apollo – 2024,DPL056
Change in finished goods inventory – Jan 2026,DPL032
Social media advertising spend – Apr 2024,DPL001
Workplace pension – Dec 2025,DPL052
Office rent – London HQ – Jan 2023,DPL055
Workplace pension – Mar 2023,DPL052
Residual finance INCOME credited – November 2026,DPL058
Satellite communications – 2023,DPL064
Campaign contribution – Liberal Democrats – 2026,DPL053
Regional Growth Fund grant income – September 2026,DPL024
Admin services overhead – ABC Ltd – 2024,DPL046
Revenue cost reclassified to capital – INV-21359,DPL042
Development costs – Falcon product – 2024,DPL056
Warehouse lease payment – Jul 2023,DPL055
CJRS claim – Facilities – August 2026,DPL071
Machinery depreciation – Procurement – Sep,DPL010
Currency translation difference – Apr 2025,DPL043
Sterling Group – managed services contract – Jul,DPL049
Print room costs – Birmingham site – 2025,DPL054
Waste management and recycling costs – Reading HQ – 2023,DPL011
Gross wages – R&D – Nov 2026,DPL068
Postage and courier costs – December 2025,DPL054
R&D project costs – Horizon – January 2024,DPL056
Revenue cost reclassified to capital – AP-57914,DPL042
Transfer pricing report – Crowe,DPL003
DC pension employer contribution – Sales – May,DPL052
Admin services overhead – Blue Ridge Corp – 2023,DPL046
Political party funding – 2026,DPL053
Defined benefit pension scheme – service cost – January 2025,DPL051
Equity investment write-down – Asia Pacific Holdco – July,DPL027
