description,dpl_tag
IP legal costs – Clifford Chance – Jun 2023,DPL038
Leasehold rent – Manchester office – 2026,DPL055
Intangible asset disposal gain – REF-22484,DPL021
Defined benefit pension scheme – service cost – May 2026,DPL051
Fundraising event costs – Barnardo's – Sep,DPL007
Bonus payroll – Finance – 2025,DPL068
Share award charge – Marketing – 2025,DPL062
EXP-41670 – Mazars audit services FY2023,DPL003
Warranty provision utilisation – September 2026,DPL018
Service charge – Nottingham office – January,DPL055
Intangible asset disposal gain – EXP-27183,DPL021
Catch-all cost allocation – June 2023,DPL074
Travel reimbursement – employee expense claim – PO-92314,DPL065
Audit planning fees – KPMG – Nov,DPL003
Intra-group interest INCOME – Southern Operations – July,DPL075
Corporate legal services – acquisition support – Slaughter and May,DPL038
Machinery depreciation – IT – Aug,DPL010
Sundry operating income – June,DPL045
Foreign exchange revaluation gain – Nov 2024,DPL043
Technology licence fee – Innovation Licensing Corp – Dec,DPL060
Revenue cost reclassified to capital – PO-85920,DPL042
CGU tangible asset impairment – Holdco Ltd – 2025,DPL029
Non-business VAT apportionment – 2025,DPL036
Non-trading gain before tax – Jan 2024,DPL044
Expense capitalised to work in progress – October 2024,DPL042
Discount unwind on restructuring provision – 2023,DPL067
Expense capitalised to work in progress – Feb 2024,DPL042
Donation to SNP – disclosed in accounts – 2026,DPL053
Unrealised FX gain – balance sheet revaluation – July,DPL043
Payroll run – Aug 2024 – R&D,DPL068
Environmental penalty – Ofgem – September,DPL015
Sterling Group – Strategy consulting services – Jun 2025,DPL009
Legal provision released – AP-88226,DPL018
PR agency fees – May 2024,DPL001
Donation to Mind – 2023,DPL007
REF-39730 – Facility repair costs – ABC Ltd,DPL047
Sale of Asia Pacific Holdco business unit – post-tax gain – 2024,DPL017
IFRS 16 lease liability – interest and depreciation – Jan,DPL055
Amortisation of software licence – January 2025,DPL002
Non-bank interest and similar INCOME – Feb 2025,DPL075
Dividend income from Subsidiary A – Nov 2026,DPL030
Loan written off – JV Entity – 2023,DPL039
Discount unwind on legal claims provision – 2024,DPL067
Consulting fee income – Corinthian Ltd – EXP-90356,DPL066
Deemed employment income – IR35 – June 2024,DPL070
Environmental penalty – SRA – Apr,DPL015
Social media advertising spend – Oct 2025,DPL001
Pension scheme contribution – defined benefit – Sep,DPL051
Manned guarding services – Dec 2024,DPL061
Irrecoverable VAT on entertainment – October,DPL036
Product sales – Sales – May 2025,DPL066
Intercompany loan written off – Western Trading Ltd – 2025,DPL039
Goodwill impairment charge – Eastern Region Ltd CGU – 2023,DPL028
Building security services – Jul 2023,DPL061
Intra-group interest EXPENSE – Asia Pacific Holdco – Jan,DPL076
Equity derivative fair value GAIN – November,DPL013
IP royalty – AP-97057 – 2023,DPL060
Tangible fixed asset write-down – 2024,DPL029
Capitalised internal engineering costs – August,DPL050
Equity derivative mark-to-market LOSS – February,DPL014
Interest charged on Standard Chartered overdraft – May,DPL035
Intangible asset disposal gain – REF-31354,DPL021
Mobile phone contract costs – Oct 2024,DPL064
One-off non-operating gain – Nov 2023,DPL044
Building maintenance cleaning charge,DPL008
Leasehold improvements depreciation charge – July,DPL010
Share option expense – IFRS 2 charge – September 2026,DPL062
Site rationalisation costs – Birmingham site – 2026,DPL059
Overseas withholding tax – March 2024,DPL031
Building repairs and maintenance – Sep 2025,DPL047
Professional body membership – Jan 2024,DPL063
Loss on exit of Asia Pacific Holdco business – post-tax – 2025,DPL017
Finance EXPENSE – lease – IFRS 16 – Jul 2026,DPL057
Product liability insurance – Liberty Mutual – 2025,DPL033
Release of restructuring provision – October 2026,DPL018
Leasehold rent – Leeds depot – 2024,DPL055
Cold storage facility costs – February,DPL069
Equity investment write-down – Eastern Region Ltd – January,DPL027
HVAC system maintenance – Reading HQ – 2025,DPL047
Group pension scheme payments – March 2025,DPL052
Warranty provision utilisation – July 2023,DPL018
Expense capitalised to work in progress – Apr 2024,DPL042
Unwinding of present value adjustment – decommissioning provision – 2024,DPL067
"Import freight costs – EUR 57,374",DPL016
NEST / defined contribution pension – April,DPL052
Share option expense – IFRS 2 charge – Feb 2025,DPL062
corporate bonds fair value INCREASE – July 2024,DPL013
Distribution of investment property to owners – 2026,DPL040
IAS 29 hyperinflation restatement gain – 2026,DPL026
Negative goodwill released – US Operations Inc acquisition – 2023,DPL023
REF-46150 – Moore Kingston Smith audit services FY2026,DPL003
Dividend income from US Operations Inc – Apr 2026,DPL030
Bonus payroll – Marketing – 2026,DPL068
Non-recoverable VAT charge – November 2023,DPL036
Business insurance – Liberty Mutual – Apr 2025,DPL033
Fair value GAIN on currency option – Jan 2023,DPL013
Currency translation loss on EUR balances – August,DPL043
Profit on disposal of motor vehicle – PO-13562,DPL022
IFRS 16 lease liability – interest and depreciation – Aug,DPL055
Operational income adjustment – Nov 2024,DPL045
Marketing agency retainer – December,DPL001
Present value unwinding – dilapidation provision – Sep 2024,DPL067
Overseas withholding tax – Mar 2026,DPL031
Residual finance INCOME – August 2024,DPL058
Non-bank interest and similar CHARGES – Sep 2026,DPL076
Occupational health service – Sep 2026,DPL025
Occupational health service – Oct 2024,DPL025
Financial instrument MTM GAIN – currency option – April,DPL013
Software impairment loss – Oracle – 2023,DPL028
Equity investment write-down – NewCo Ltd – April,DPL027
Bank interest credited – March 2023,DPL006
Product sales – Legal – Apr 2026,DPL066
Change in finished goods inventory – Jun 2026,DPL032
Research expenditure – innovation lab – 2024,DPL056
Software subscription – VMware – Oct 2024,DPL063
Staff medical benefit – Mar,DPL048
Staff entertainment – Aug 2026,DPL041
Intangible asset amortisation – Operations system – 2026,DPL002
Bank interest credited – Nov 2025,DPL006
Donation to Reform UK – disclosed in accounts – 2026,DPL053
Current account charges – Citibank – February,DPL005
Realised foreign exchange loss – JNL-38061,DPL043
Crowe management consulting – Titan project,DPL009
Compensation received – non-operating – 2023,DPL044
Unwinding of present value adjustment – legal claims provision – 2025,DPL067
Property impairment charge – Manchester office – 2024,DPL029
Operational consultancy – Summit Consulting – May,DPL009
Facilities management outsourcing – Summit Consulting,DPL049
DC pension employer contribution – Facilities – Nov,DPL052
IR35 deemed employee cost – AP-64629 – 2024,DPL073
INV-42999 – Security contractor – Sterling Group,DPL061
PO-79278 – Government grant received – Enterprise Development Grant,DPL024
Capital grant amortisation – Oct 2025,DPL024
Taxi and car hire – Mar 2025,DPL065
Internal labour capitalised – Falcon project – Sep,DPL050
Political donation – Reform UK – 2023,DPL053
Property fund valuation gain – August 2024,DPL020
DB scheme deficit contribution – Sep 2023,DPL051
Intangible asset disposal gain – REF-63400,DPL021
Listed equity dividend received – Jan 2025,DPL030
Training and development – Facilities – 2023,DPL048
HVAC system maintenance – Nottingham office – 2023,DPL047
Negative mark-to-market movement – credit default swap – 2025,DPL014
General repairs – Edinburgh branch – July 2026,DPL047
Training and development – IT – 2026,DPL048
IFRS 3 negative goodwill recognised – 2023,DPL023
R&D project costs – Falcon – Sep 2026,DPL056
Software impairment loss – Cisco – 2025,DPL028
Building security services – November 2025,DPL061
First aid training – staff – Dec,DPL025
R&D staff costs – IT – Mar,DPL056
Environmental penalty – Ofcom – Aug,DPL015
Inter-company interest PAYABLE – JV Entity – 2026,DPL076
Agent commission – Jan 2025,DPL012
Waste disposal and environmental fees – Sep 2024,DPL011
Increase in dilapidation provision – Reading HQ,DPL018
Hotel accommodation – client visit – Feb,DPL065
Dividend income from Subsidiary A – January 2023,DPL030
Third party sales commission – REF-50347,DPL012
Head office recharge – Group Services Ltd – 2023,DPL034
Software licence renewal – Legal – 2023,DPL037
Internal resources capitalised – Vertex – September 2023,DPL050
Pandemic business interruption grant – 2025,DPL072
Overseas travel – March 2025,DPL065
Other operating income – service recharge – August,DPL045
Pension scheme contribution – defined benefit – Apr,DPL051
Positive mark-to-market movement – total return swap – 2026,DPL013
IAS 29 restatement of non-monetary assets – 2026,DPL026
Corporate legal services – acquisition support – CMS,DPL038
Dividend income from Eastern Region Ltd – June 2026,DPL030
Internal labour capitalised – Project Delta project – Jan,DPL050
Cumulative price index restatement – Subsidiary A – 2023,DPL026
General repairs – Nottingham office – Mar 2026,DPL047
Mazars management consulting – Horizon project,DPL009
Share award charge – Procurement – 2023,DPL062
Contract penalty charge – EXP-55107,DPL015
Intangible asset disposal gain – REF-98655,DPL021
Gain on derecognition – discontinued operations – Asia Pacific Holdco – 2023,DPL017
Tax provision adjustment – December 2024,DPL031
JNL-73554 – Government grant received – Made Smarter grant,DPL024
Capitalised internal engineering costs – Jan,DPL050
Amortisation of acquired technology – Eastern Region Ltd – 2025,DPL002
Donation disclosed under CA 2006 – Reform UK – 2025,DPL053
Warehouse storage charges – October 2024,DPL069
Financial instrument MTM GAIN – interest rate swap – Jun,DPL013
Software subscription – ServiceNow – Oct 2023,DPL063
SAYE scheme cost – 2025,DPL062
Dividend income from JV Entity – Nov 2023,DPL030
Office supplies printing – PO-57376,DPL054
Distribution in kind – European Division equity – 2023,DPL040
Restart grant received – December 2023,DPL072
Related party loan interest CHARGED – 2023,DPL076
Current tax charge – 2023 return,DPL031
Political party funding – 2026,DPL053
Staff welfare costs – Facilities,DPL048
Sale of IT equipment – gain/(loss) – PO-18839,DPL022
Other charges – unspecified – AP-94155,DPL074
JNL-54747 – Government grant received – KTP award,DPL024
IP royalty – INV-53951 – 2025,DPL060
Listed equity dividend received – Feb 2023,DPL030
Legal provision released – AP-98391,DPL018
Derivative financial instrument fair value DECLINE – 2026,DPL014
Interest charged on NatWest overdraft – Mar,DPL035
Bad debt expense – overdue receivable EXP-27310,DPL004
Management consultancy fees – PO-26159,DPL009
Training and development – Procurement – 2025,DPL048
Haulage costs – goods delivery – December 2026,DPL016
DB scheme deficit contribution – Jan 2024,DPL051
Realised fair value GAIN on commodity futures – 2026,DPL013
Share option expense – IFRS 2 charge – Feb 2026,DPL062
Annual subscription – Moody's Analytics – 2023,DPL063
Restructuring advisory fees – Moore Kingston Smith – 2025,DPL059
Excess fair value recognised in P&L – Subsidiary A – 2025,DPL023
Air freight charges – INV-80050 – Mar,DPL016
Other charges – unspecified – AP-15799,DPL074
INV-26506 – Service income – Sterling PLC,DPL066
Residual finance COSTS – February 2025,DPL057
Loss on disposal of trademark – 2023,DPL021
AP-17746 – Freight charges – Geodis,DPL016
Revenue cost reclassified to capital – REF-62626,DPL042
Decommissioning provision re-measurement – 2023,DPL018
Influencer marketing costs – Nov,DPL001
private equity fund fair value INCREASE – December 2026,DPL013
IP legal costs – Herbert Smith Freehills – Feb 2025,DPL038
Change in finished goods inventory – December 2023,DPL032
ERP system amortisation – Dell Technologies – Oct 2025,DPL002
Site rationalisation costs – Nottingham office – 2026,DPL059
Amortisation of software licence – Jul 2026,DPL002
Carbon credit purchase – April 2026,DPL011
Investment write-down – Northern Division shares – 2024,DPL027
RSU vesting expense – March 2026,DPL062
Cumulative price index restatement – JV Entity – 2024,DPL026
Restart grant received – January 2024,DPL072
Depreciation – office furniture and equipment – Oct 2024,DPL010
Waste disposal and environmental fees – November 2025,DPL011
Hyperinflation monetary item loss – 2026,DPL026
Rental property revaluation – Liverpool depot – 2024,DPL020
Work in progress movement – Nov 2025,DPL032
Operating income – reimbursement received – JNL-14481,DPL045
CJRS claim – Marketing – Apr 2026,DPL071
Corporate mobile plan – Legal – Sep,DPL064
Overseas withholding tax – December 2025,DPL031
Environmental penalty – Companies House – June,DPL015
ERP system amortisation – ServiceNow – November 2024,DPL002
Non-bank interest INCOME receivable – May 2023,DPL075
Deemed employment income – IR35 – November 2025,DPL070
Carbon credit purchase – December 2023,DPL011
"Debt interest expense – GBP 136,463 facility – 2025",DPL035
Onerous contract provision change – July,DPL018
Overdraft interest charge – Halifax – Sep 2023,DPL035
Input VAT – non-deductible – February 2026,DPL036
"Import freight costs – CHF 30,466",DPL016
After-tax loss on sale of NewCo Ltd – 2025,DPL017
Corporate mobile plan – Sales – September,DPL064
Non-bank interest and similar INCOME – Nov 2025,DPL075
Financial liability FVTPL fair value INCREASE – 2026,DPL014
Sales commission – external agent – September 2023,DPL012
DB scheme deficit contribution – December 2024,DPL051
Contract drafting fees – Freshfields – Sep,DPL038
Music royalty costs – Jan 2025,DPL060
IAS 41 bearer plant fair value – Jun 2026,DPL019
Inter-company interest PAYABLE – Western Trading Ltd – 2023,DPL076
Interest on term deposit – Bank of America – July,DPL006
IP royalty – INV-73448 – 2025,DPL060
Contract penalty charge – EXP-95259,DPL015
Professional body membership – February 2023,DPL063
Machinery depreciation – Legal – Mar,DPL010
Off payroll worker fees – IR35 – November 2025,DPL070
EXP-82434 – Third party storage – Yodel,DPL069
Professional body membership – April 2023,DPL063
Taxi and car hire – November 2025,DPL065
Corporate hospitality costs – April,DPL041
SWIFT transfer charges – August,DPL005
Stock build – seasonal demand – July,DPL032
Credit impairment – inter-company loan – 2024,DPL039
Political party donation – Liberal Democrats – 2023,DPL053
Other operating income – service recharge – Apr,DPL045
Community foundation contribution – 2023,DPL007
Loan receivable write-off – PO-35143,DPL039
Non-recoverable VAT charge – June 2025,DPL036
Goodwill write-down – LatAm Subsidiary CGU – 2023,DPL028
Business rates – Liverpool depot – Q2 2025,DPL055
Distribution centre costs – December 2023,DPL069
Property maintenance charge – Leeds depot,DPL047
Corporate mobile plan – Legal – November,DPL064
Licence amortisation – Workday platform – 2024,DPL002
Third party sales commission – EXP-25619,DPL012
Security patrol costs – Liverpool depot – Sep,DPL061
Standard Chartered account maintenance fee – March,DPL005
Legal provision released – JNL-28901,DPL018
Legal provision released – JNL-88570,DPL018
Interest on term deposit – Nationwide – Feb,DPL006
Depreciation – office furniture and equipment – Dec 2026,DPL010
Cumulative price index restatement – LatAm Subsidiary – 2024,DPL026
Loss on disposal of plant and machinery – Mar 2026,DPL022
Distribution of infrastructure fund to equity holders – 2025,DPL040
Janitorial services – January 2023,DPL008
Fixed line rental – Talk Talk – 2026,DPL064
Outsourced HR services – January 2025,DPL049
Group finance function recharge – Jul 2025,DPL034
Negative goodwill released – European Division acquisition – 2026,DPL023
One-off non-operating gain – June 2026,DPL044
Software subscription – Cisco – October 2023,DPL063
PR agency fees – January 2023,DPL001
Deep clean – Manchester office – Apr,DPL008
Sporting event hospitality – Jun 2026,DPL041
Facilities cleaning – Nottingham office – June,DPL008
Restart grant received – Feb 2023,DPL072
"Debt interest expense – GBP 462,699 facility – 2024",DPL035
Change in finished goods inventory – Aug 2025,DPL032
Pallet storage fees – Yodel – 2024,DPL069
Business rates – Edinburgh branch – Q4 2026,DPL055
Interest on term deposit – RBS – November,DPL006
Monthly depreciation charge – plant and machinery – Mar 2025,DPL010
Interest PAYABLE on related party loan – Dec,DPL076
Discount unwind – dilapidation provision – Jan 2026,DPL067
Dividend in kind – investment portfolio – 2023,DPL040
Revenue from contracts with customers – 2025,DPL066
Building security services – Aug 2024,DPL061
Occupational health service – June 2026,DPL025
Admin support costs – Facilities – September 2025,DPL046
Miscellaneous other cost – Nexus Group – April,DPL074
SaaS subscription – Cisco – March 2023,DPL037
IR35 worker engagement cost – Jul 2026,DPL073
Party political donation – Green Party – 2023,DPL053
Google Ads campaign – Q2 2024 – Operations,DPL001
SaaS subscription – VMware – Sep 2023,DPL037
Sales commission – external agent – Feb 2024,DPL012
Staff medical benefit – December,DPL048
Franchise intangible impairment charge – 2024,DPL028
Off payroll worker fees – IR35 – March 2024,DPL070
Service charge – Cardiff branch – July,DPL055
Late payment penalty – AP-62461,DPL015
Sundry other expense – Procurement – 2025,DPL074
Licence fee for use of software platform – 2026,DPL060
PV unwinding – warranty provision – 2025,DPL067
Warehouse impairment charge – Birmingham site – 2024,DPL029
Office supplies printing – EXP-88320,DPL054
PPE impairment reversal – Manchester office – 2024,DPL029
Staff costs transferred to capital project – Aug 2025,DPL050
Sale of IT equipment – gain/(loss) – REF-62365,DPL022
Inter-company interest RECEIVABLE – Southern Operations – 2026,DPL075
Fair value GAIN on currency option – Feb 2024,DPL013
Restructuring advisory fees – RSM – 2025,DPL059
Deep clean – Edinburgh branch – Sep,DPL008
Subsistence expenses – IT – Jun,DPL065
Profit on disposal of motor vehicle – INV-68011,DPL022
Mark-to-market GAIN – total return swap – Aug,DPL013
Vehicle repair costs – March,DPL047
Regional Growth Fund grant income – September 2026,DPL024
Online data subscription – Dun & Bradstreet – 2024,DPL063
Loan written off – Asia Pacific Holdco – 2023,DPL039
Patent licence royalties – July,DPL060
Product sales – Finance – Aug 2026,DPL066
Change in finished goods inventory – August 2023,DPL032
Off payroll working costs – R&D – Feb,DPL073
Server hardware impairment – Dell Technologies – 2023,DPL029
Legal provision released – AP-96941,DPL018
Inter-company interest EXPENSE – European Division – 2025,DPL076
Donation disclosed under CA 2006 – Reform UK – 2024,DPL053
Impairment of investment in NewCo Ltd – 2024,DPL027
IP legal costs – Eversheds Sutherland – May 2023,DPL038
Pollution remediation costs – Sheffield site,DPL011
Pension scheme contribution – defined benefit – February,DPL051
Expected credit loss provision – Dec,DPL004
Amortisation charge – JNL-76282 – intangible assets – 2023,DPL002
Trade receivable impairment charge – Apr 2026,DPL004
Loss on discontinued operations – European Division – 2023,DPL017
Air freight charges – EXP-57678 – June,DPL016
Pallet storage fees – FedEx – 2023,DPL069
Regulatory fine – Ofgem – 2026,DPL015
Defined benefit pension scheme – service cost – October 2024,DPL051
Cumulative price index restatement – Northern Division – 2026,DPL026
Restructuring advisory fees – Deloitte – 2024,DPL059
Environmental permit fees – PRA – 2023,DPL011
Time value of money charge – onerous contract provision – 2024,DPL067
Office supplies and administration costs – August 2025,DPL046
Cleaning supplies and services – Finance,DPL008
Training and development – Marketing – 2026,DPL048
Finance CHARGE – lease liability – January 2025,DPL057
Legal provision released – EXP-77362,DPL018
Tax provision adjustment – Feb 2023,DPL031
Recruitment fees – Legal – 2024,DPL048
Loan note interest EXPENSE – 2023,DPL076
R&D project costs – Orion – Sep 2023,DPL056
Haulage costs – goods delivery – Jan 2025,DPL016
Royalty payment to Global IP Holdings – Oct 2023,DPL060
Warehouse impairment charge – Birmingham site – 2026,DPL029
NEST / defined contribution pension – Aug,DPL052
JNL-11561 – Facility repair costs – Redwood Partners,DPL047
Fair value loss on investment property – 2026,DPL020
Accretion of discount – warranty provision – 2023,DPL067
Gross wages – Sales – Mar 2024,DPL068
Licence fee for use of trade secret – 2024,DPL060
Licence fee for use of database rights – 2026,DPL060
IAS 40 annual fair value update – Manchester office – 2024,DPL020
ERP system impairment write-down – VMware – 2024,DPL028
Revenue cost reclassified to capital – INV-10118,DPL042
Bank service charges – Mar 2026,DPL005
IFRS 3 reassessment gain – Northern Division – 2025,DPL023
JNL-78488 – Freight charges – DHL,DPL016
IAS 41 bearer plant fair value – Feb 2024,DPL019
IP legal costs – Linklaters – May 2024,DPL038
DC pension employer contribution – Operations – Jun,DPL052
Release of restructuring provision – Apr 2024,DPL018
General admin overhead charge – Nov,DPL046
Hotel accommodation – client visit – April,DPL065
Realised fair value GAIN on equity option – 2023,DPL013
VoIP telephony costs – Oct 2024,DPL064
Foreign exchange revaluation gain – Jan 2024,DPL043
Internal labour capitalised – Falcon project – Aug,DPL050
PO-77654 – Freight charges – TNT,DPL016
IP legal costs – CMS – Dec 2026,DPL038
Overseas withholding tax – Aug 2026,DPL031
Professional body membership – Aug 2023,DPL063
IAS 29 indexation gain – Feb 2025,DPL026
Syndicated facility interest – 2023,DPL035
Corporate mobile plan – Facilities – April,DPL064
Other finance INCOME – Dec 2025,DPL058
IP royalty – INV-74865 – 2023,DPL060
Legal provision released – JNL-71142,DPL018
Risk assessment costs – Pinewood Ltd,DPL025
Tax provision adjustment – Sep 2024,DPL031
Corporate social responsibility donation – February 2024,DPL007
Interest on RBS term loan – 2024,DPL035
Listed equity dividend received – September 2026,DPL030
Business entertainment – restaurant – PO-54844,DPL041
Intangible asset disposal gain – INV-45150,DPL021
Business insurance – Hiscox – November 2026,DPL033
Work in progress movement – Oct 2023,DPL032
One-off non-operating gain – December 2025,DPL044
Overseas withholding tax – Jan 2023,DPL031
Service fee income – Vanguard Ltd – March,DPL045
R&D project costs – Horizon – Oct 2024,DPL056
Dividend income from Subsidiary A – Jul 2023,DPL030
Off payroll contractor cost – PO-46432,DPL073
SaaS subscription – Google Cloud – Aug 2023,DPL037
Staff welfare costs – Finance,DPL048
Profit on disposal of motor vehicle – PO-23050,DPL022
Unrealised GAIN on equity option – Oct 2023,DPL013
IAS 40 annual fair value update – Birmingham site – 2023,DPL020
IFRS 5 held-for-sale disposal gain – Northern Division – 2026,DPL017
IAS 40 annual fair value update – Bristol office – 2024,DPL020
Equity derivative fair value GAIN – Jan,DPL013
Third party sales commission – INV-37191,DPL012
Customer relationships impairment reversal – 2024,DPL028
Deep clean – Sheffield site – March,DPL008
RBS account maintenance fee – July,DPL005
Cold storage facility costs – Sep,DPL069
IAS 40 annual fair value update – Birmingham site – 2026,DPL020
Preference share dividend treated as finance COST – 2024,DPL057
VoIP telephony costs – Jan 2025,DPL064
DB scheme deficit contribution – Mar 2026,DPL051
Professional services income – May 2026,DPL066
Google Ads campaign – Q3 2023 – Marketing,DPL001
Client entertainment – Dec 2025,DPL041
Group pension scheme payments – October 2024,DPL052
Profit on disposal of motor vehicle – AP-28438,DPL022
Late payment penalty – REF-56201,DPL015
Deposit account interest income – 2024,DPL006
Compensation received – non-operating – 2026,DPL044
VAT compliance services – March 2025,DPL003
Other unclassified cost – July,DPL074
Development cost capitalisation – September,DPL042
Commitment FEE on undrawn facility – 2025,DPL057
Janitorial services – March 2025,DPL008
Royalty payment to TechIP Group – June 2024,DPL060
Staff salaries – Aug 2025,DPL068
Intangible asset disposal gain – INV-95570,DPL021
Subsistence expenses – Procurement – July,DPL065
IAS 29 indexation gain – Dec 2023,DPL026
Stock build – seasonal demand – Mar,DPL032
Deep clean – Leeds depot – December,DPL008
JNL-27429 – Government grant received – Horizon Europe funding,DPL024
Off payroll worker fees – IR35 – July 2025,DPL070
Legal provision released – INV-97149,DPL018
CJRS furlough grant received – Nov 2023,DPL071
Interest CHARGE on shareholder loan – September 2026,DPL076
Property impairment charge – Leeds depot – 2023,DPL029
Barclays account maintenance fee – June,DPL005
Office supplies printing – AP-25565,DPL054
Business entertainment – restaurant – PO-81429,DPL041
